ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rank,rank_lower,rank_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-02-04,60.82589181195285,36.71151161224969,60.59833760708135,60.82589181195285,60.82589181195285,-12.218257763062617,-12.218257763062617,-12.218257763062617,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-6.999713593974832,-6.999713593974832,-6.999713593974832,0.0,0.0,0.0,48.60763404889023
2024-02-11,60.893654467319216,39.295925984151175,65.05943546317214,60.893654467319216,60.893654467319216,-8.399650890697211,-8.399650890697211,-8.399650890697211,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-3.1811067216094266,-3.1811067216094266,-3.1811067216094266,0.0,0.0,0.0,52.494003576622006
2024-02-18,60.96141712268557,43.44857609057258,66.45724763973824,60.960782625069356,60.96222411430149,-6.127454584402265,-6.127454584402265,-6.127454584402265,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-0.9089104153144814,-0.9089104153144814,-0.9089104153144814,0.0,0.0,0.0,54.8339625382833
2024-02-25,61.02917977805193,42.33996668234254,65.69258205973037,61.027489269086864,61.03146497735053,-6.06954533180977,-6.06954533180977,-6.06954533180977,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-0.8510011627219852,-0.8510011627219852,-0.8510011627219852,0.0,0.0,0.0,54.95963444624216
2024-03-03,61.0969424334183,47.957010241204756,71.44061528585078,61.09363433399085,61.10061348819126,-1.9025874778227598,-1.9025874778227598,-1.9025874778227598,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,-2.158251025011499,-2.158251025011499,-2.158251025011499,0.0,0.0,0.0,59.194354955595536
2024-03-10,61.164705088784665,48.119792468874195,70.89006746390605,61.159463399072884,61.17012050092874,-2.578108336835169,-2.578108336835169,-2.578108336835169,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,-2.833771884023908,-2.833771884023908,-2.833771884023908,0.0,0.0,0.0,58.58659675194949
2024-03-17,61.23246774415103,48.462873397513114,73.02390418703416,61.22570065155198,61.240369993316996,-0.8834774633478522,-0.8834774633478522,-0.8834774633478522,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,-1.1391410105365911,-1.1391410105365911,-1.1391410105365911,0.0,0.0,0.0,60.34899028080318
2024-03-24,61.300230399517396,52.63580603130177,75.97963251831523,61.290832780438016,61.309835428143245,2.9439550274259405,2.9439550274259405,2.9439550274259405,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,2.6882914802372015,2.6882914802372015,2.6882914802372015,0.0,0.0,0.0,64.24418542694333
2024-03-31,61.367993054883755,55.25224850507275,80.49590968467064,61.35583377271664,61.380128368909354,6.508720823181265,6.508720823181265,6.508720823181265,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,6.253057275992526,6.253057275992526,6.253057275992526,0.0,0.0,0.0,67.87671387806502
2024-04-07,61.43575571025012,58.651270350181804,81.53338652869614,61.42035075963311,61.45041359151339,8.99082930025963,8.99082930025963,8.99082930025963,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,7.171106405563312,7.171106405563312,7.171106405563312,0.0,0.0,0.0,70.42658501050975
2024-04-14,61.503518365616486,56.49886114719792,81.32736960586558,61.48532556448476,61.52102348286076,7.480629316433069,7.480629316433069,7.480629316433069,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,5.660906421736751,5.660906421736751,5.660906421736751,0.0,0.0,0.0,68.98414768204955
2024-04-21,61.57128102098284,55.233770528390075,79.04256285911929,61.549613235078205,61.59244863965448,6.337670455130391,6.337670455130391,6.337670455130391,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,4.517947560434074,4.517947560434074,4.517947560434074,0.0,0.0,0.0,67.90895147611323
2024-04-28,61.6390436763492,58.36632563702354,81.65132552463074,61.61445743998298,61.66347163528114,7.861908343373996,7.861908343373996,7.861908343373996,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,6.042185448677677,6.042185448677677,6.042185448677677,0.0,0.0,0.0,69.5009520197232
2024-05-05,61.70680633171557,65.41113903732145,89.54706202418836,61.679456231518984,61.73443442475264,15.216203341002602,15.216203341002602,15.216203341002602,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,9.225655519619409,9.225655519619409,9.225655519619409,0.0,0.0,0.0,76.92300967271817
2024-05-12,61.774568987081935,65.89564796419185,90.54902738199746,61.7439660702907,61.8059106325289,16.667720393912838,16.667720393912838,16.667720393912838,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,10.677172572529644,10.677172572529644,10.677172572529644,0.0,0.0,0.0,78.44228938099477
2024-05-19,61.8423316424483,63.71310208590392,88.06866036408748,61.808292035281234,61.87700080070185,14.531589594810926,14.531589594810926,14.531589594810926,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,8.541041773427732,8.541041773427732,8.541041773427732,0.0,0.0,0.0,76.37392123725922
2024-05-26,61.910094297814666,61.07215831338329,84.16863578344778,61.87284847822511,61.94870411116997,10.843597554606433,10.843597554606433,10.843597554606433,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,4.85304973322324,4.85304973322324,4.85304973322324,0.0,0.0,0.0,72.7536918524211
2024-06-02,61.97785695318103,55.67143580395538,79.71386789490931,61.93669060609446,62.02077208925422,5.6284698546595635,5.6284698546595635,5.6284698546595635,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,3.2873938441273856,3.2873938441273856,3.2873938441273856,0.0,0.0,0.0,67.60632680784059
2024-06-09,62.04561960854738,56.96408516094052,80.57283334608061,62.00027077471965,62.092080291817545,7.0877335662333465,7.0877335662333465,7.0877335662333465,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,4.7466575557011685,4.7466575557011685,4.7466575557011685,0.0,0.0,0.0,69.13335317478072
2024-06-16,62.11338226391375,59.337557080493625,83.3892833046145,62.06343691256647,62.1652010597659,8.506165395271339,8.506165395271339,8.506165395271339,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,6.165089384739161,6.165089384739161,6.165089384739161,0.0,0.0,0.0,70.61954765918509
2024-06-23,62.181144919280115,56.7664628341148,81.17501992033952,62.12594147713551,62.237502740332985,6.648154701950043,6.648154701950043,6.648154701950043,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,4.307078691417865,4.307078691417865,4.307078691417865,0.0,0.0,0.0,68.82929962123016
2024-06-30,62.24890757464647,52.72778309853576,77.15449939643919,62.19014061546363,62.3084161245638,2.537133299486118,2.537133299486118,2.537133299486118,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,2.341076010532178,0.19605728895394006,0.19605728895394006,0.19605728895394006,0.0,0.0,0.0,64.7860408741326
2024-07-07,62.31667023001284,51.49097000475951,75.59500165573975,62.25322476082872,62.38010392955334,1.4614989327982175,1.4614989327982175,1.4614989327982175,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,-1.4009301935698202,-1.4009301935698202,-1.4009301935698202,0.0,0.0,0.0,63.778169162811054
2024-07-14,62.384432885379205,56.36622600936086,80.80565270349528,62.316803811595406,62.45147398205747,5.487022602927097,5.487022602927097,5.487022602927097,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.624593476559059,2.624593476559059,2.624593476559059,0.0,0.0,0.0,67.8714554883063
2024-07-21,62.45219554074557,62.732055756609995,87.24886766659395,62.38035347509703,62.52339975866262,12.379938808040343,12.379938808040343,12.379938808040343,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,9.517509681672305,9.517509681672305,9.517509681672305,0.0,0.0,0.0,74.83213434878591
2024-07-28,62.519958196111936,66.75297657343164,91.18736239611,62.44543707988593,62.59532678663104,15.674404113330906,15.674404113330906,15.674404113330906,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,2.8624291263680375,12.811974986962868,12.811974986962868,12.811974986962868,0.0,0.0,0.0,78.19436230944284
2024-08-04,62.5877208514783,60.70522556320101,84.40736213403255,62.508797241073076,62.66631311201646,10.149568665126713,10.149568665126713,10.149568665126713,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,8.851198886266255,8.851198886266255,8.851198886266255,0.0,0.0,0.0,72.73728951660502
2024-08-11,62.655483506844654,52.502833054543345,76.51808773376696,62.57157122332595,62.73736917380044,1.8575985578788499,1.8575985578788499,1.8575985578788499,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,0.5592287790183922,0.5592287790183922,0.5592287790183922,0.0,0.0,0.0,64.5130820647235
2024-08-18,62.72324616221102,46.23869257861434,69.57617133759393,62.632673117349015,62.81099595405992,-4.366027009212905,-4.366027009212905,-4.366027009212905,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,-5.664396788073363,-5.664396788073363,-5.664396788073363,0.0,0.0,0.0,58.35721915299811
2024-08-25,62.791008817577385,45.914937973923216,70.59666788494268,62.69424178282331,62.88565316399938,-5.0667535368072345,-5.0667535368072345,-5.0667535368072345,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,1.2983697788604578,-6.3651233156676925,-6.3651233156676925,-6.3651233156676925,0.0,0.0,0.0,57.72425528077015
2024-09-01,62.858771472943744,45.74790990660893,68.22940742747346,62.75329985884062,62.95910539501808,-5.814349288708731,-5.814349288708731,-5.814349288708731,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-3.7239238146361022,-3.7239238146361022,-3.7239238146361022,0.0,0.0,0.0,57.04442218423501
2024-09-08,62.92653412831011,46.41524794480651,70.00115539478625,62.81507015766484,63.03280328527488,-4.158085420243406,-4.158085420243406,-4.158085420243406,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0676599461707776,-2.0676599461707776,-2.0676599461707776,0.0,0.0,0.0,58.7684487080667
2024-09-15,62.994296783676475,46.21965705081307,69.98431547033817,62.87571340407083,63.10288841884406,-4.885100312600279,-4.885100312600279,-4.885100312600279,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.794674838527651,-2.794674838527651,-2.794674838527651,0.0,0.0,0.0,58.109196471076196
2024-09-22,63.06205943904284,45.162072563699674,69.37277052484475,62.93400411215088,63.177778939796134,-5.66955580658801,-5.66955580658801,-5.66955580658801,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-3.5791303325153816,-3.5791303325153816,-3.5791303325153816,0.0,0.0,0.0,57.39250363245483
2024-09-29,63.12982209440921,47.139211627557565,71.79201814812976,62.9975725593676,63.25246381483753,-4.2391863350126044,-4.2391863350126044,-4.2391863350126044,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.0904254740726285,-2.1487608609399755,-2.1487608609399755,-2.1487608609399755,0.0,0.0,0.0,58.8906357593966
2024-10-06,63.19758474977557,51.584862582868716,76.9502438848512,63.05940025037484,63.326038913616806,0.9816010132474524,0.9816010132474524,0.9816010132474524,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.46526090814078347,0.46526090814078347,0.46526090814078347,0.0,0.0,0.0,64.17918576302303
2024-10-13,63.265347405141924,53.070946766763136,76.68949655038575,63.12256486256369,63.39978554386984,1.6982389241238711,1.6982389241238711,1.6982389241238711,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,1.1818988190172022,1.1818988190172022,1.1818988190172022,0.0,0.0,0.0,64.9635863292658
2024-10-20,63.33311006050829,50.52716879708254,74.83406057176411,63.18345606444091,63.47296187378264,-0.7004238614794852,-0.7004238614794852,-0.7004238614794852,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,-1.2167639665861543,-1.2167639665861543,-1.2167639665861543,0.0,0.0,0.0,62.632686199028804
2024-10-27,63.400872715874655,47.464137594978,70.81682967580673,63.2458100177624,63.54607980962893,-4.016116552001756,-4.016116552001756,-4.016116552001756,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,0.516340105106669,-4.532456657108424,-4.532456657108424,-4.532456657108424,0.0,0.0,0.0,59.3847561638729
2024-11-03,63.468635371241014,42.19222389252703,66.58590527072663,63.30649736472257,63.621629418215285,-9.46876452403854,-9.46876452403854,-9.46876452403854,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-5.814279702458333,-5.814279702458333,-5.814279702458333,0.0,0.0,0.0,53.99987084720247
2024-11-10,63.53639802660738,42.80732774392759,66.51992396651917,63.36849768007742,63.692864691260446,-8.46503361651253,-8.46503361651253,-8.46503361651253,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-4.810548794932322,-4.810548794932322,-4.810548794932322,0.0,0.0,0.0,55.07136441009485
2024-11-17,63.604160681973745,44.02119551740052,69.28519642541696,63.43141709284637,63.766869027330756,-7.603818666887961,-7.603818666887961,-7.603818666887961,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.9493338453077538,-3.9493338453077538,-3.9493338453077538,0.0,0.0,0.0,56.000342015085785
2024-11-24,63.67192333734011,42.41118642369208,65.69345648085921,63.493497527500374,63.841132254655115,-8.674468353151545,-8.674468353151545,-8.674468353151545,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-5.019983531571338,-5.019983531571338,-5.019983531571338,0.0,0.0,0.0,54.997454984188565
2024-12-01,63.73968599270648,41.054760343426864,64.79945050911216,63.555017087337724,63.91473786486578,-10.949794243538866,-10.949794243538866,-10.949794243538866,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-6.7739563061228,-6.7739563061228,-6.7739563061228,0.0,0.0,0.0,52.78989174916761
2024-12-08,63.80744864807284,40.23954929515189,64.66754572752536,63.615589515048434,63.98861381919275,-10.590732619953007,-10.590732619953007,-10.590732619953007,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-6.414894682536941,-6.414894682536941,-6.414894682536941,0.0,0.0,0.0,53.21671602811983
2024-12-15,63.87521130343921,44.60803931154712,67.98699081063761,63.67828698180119,64.0642000322931,-7.32444484539129,-7.32444484539129,-7.32444484539129,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-3.148606907975223,-3.148606907975223,-3.148606907975223,0.0,0.0,0.0,56.55076645804792
2024-12-22,63.94297395880556,47.68604774125458,72.5143245561421,63.738439612710245,64.13760964675078,-3.7086302393201676,-3.7086302393201676,-3.7086302393201676,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,0.46720769809589946,0.46720769809589946,0.46720769809589946,0.0,0.0,0.0,60.234343719485395
2024-12-29,64.01073661417193,49.66001285608843,73.2892097504946,63.798028055741064,64.21099447708198,-3.2230786126348514,-3.2230786126348514,-3.2230786126348514,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,-4.175837937416067,0.9527593247812155,0.9527593247812155,0.9527593247812155,0.0,0.0,0.0,60.78765800153708
2025-01-05,64.0784992695383,45.337359976404855,69.23312965888805,63.856854159775935,64.28468101588867,-6.287953227884027,-6.287953227884027,-6.287953227884027,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-2.6334684063038196,-2.6334684063038196,-2.6334684063038196,0.0,0.0,0.0,57.790546041654274
2025-01-12,64.14626192490465,39.28995348951587,64.90063743718505,63.91912771121373,64.36093819281139,-11.510856082477664,-11.510856082477664,-11.510856082477664,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-7.856371260897456,-7.856371260897456,-7.856371260897456,0.0,0.0,0.0,52.635405842426984
2025-01-19,64.21402458027102,36.810009467534876,60.74824836430465,63.97963481650963,64.4335333088584,-14.862043602888974,-14.862043602888974,-14.862043602888974,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-11.207558781308768,-11.207558781308768,-11.207558781308768,0.0,0.0,0.0,49.35198097738204
2025-01-26,64.28178723563738,36.47795616651341,61.460393895772164,64.03981707652187,64.50679288587986,-14.560311963721809,-14.560311963721809,-14.560311963721809,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-3.654484821580207,-10.905827142141602,-10.905827142141602,-10.905827142141602,0.0,0.0,0.0,49.72147527191557
